Table,Field,Data,Type,Description,Values,Labels,Expression
household,household_id,INT,continuous,dataframe index,,,"pd.Series(household.index, index=household.index)"
household,SAMPN,INT,continuous,sample number / household ID,,,"pd.Series(household.index, index=household.index)"
household,HH_ZONE_ID,INT,continuous,TAZ of household,,,household.home_zone_id
household,HH_WEIGHT,REAL,continuous,weight to expand data at household level,,,
household,HH_SIZE,INT,continuous,Number of people in the household,,,"person.merge(household, on='household_id', how='right').groupby('household_id').size()"
household,HH_VEH,INT ,continuous,Number of vehicles in the household,,,household.hh_veh
household,HH_WORKERS,INT,continuous,Number of workers in the household,,,"person[person.occ.isin([1, 2])].merge(household, on='household_id', how='right').groupby('household_id').size()"
person,person_id,INT,continuous,dataframe index,,,"pd.Series(person.index, index=person.index)"
person,SAMPN,INT,continuous,Household ID,,,person.household_id
person,PERNO,INT,continuous,Person ID,,,person.person_num
person,STAZ,INT,continuous,School TAZ (-9 if not a student),,,"person.reset_index().merge(trip[trip.trip_purp.isin([3])].groupby('person_id')['dest_zone_id'].first().reset_index(), how='left').set_index('person_id').dest_zone_id.fillna('-9').astype(int)"
person,WTAZ,INT,continuous,Work TAZ (-9 if not a worker),,,"person.reset_index().merge(trip[trip.trip_purp.isin([1])].groupby('person_id')['dest_zone_id'].first().reset_index(), how='left').set_index('person_id').dest_zone_id.fillna('-9').astype(int)"
person,PER_WEIGHT,REAL,continuous,Weight to expand data at person level,,,"person.reset_index().merge(trip[['person_id','person_weight']].drop_duplicates(), how='left').set_index('person_id').person_weight.fillna(1)"
person,STUDE,INT,categorical,Student Category,1,School,person.occ.isin([5])
person,STUDE,INT,categorical,Student Category,2,University,"person.occ.isin([3,4])"
person,STUDE,INT,categorical,Student Category,3,Non-student,"~person.occ.isin([3,4,5])"
person,SCHOL,INT,categorical,Level of School,1,Daycare,"person.occ.isin([3,4,5]) & (person.age < 3) & person.occ.isin([5])"
person,SCHOL,INT,categorical,Level of School,2,Pre-school,"person.occ.isin([3,4,5]) & (person.age >= 3) & (person.age < 5)"
person,SCHOL,INT,categorical,Level of School,3,K to 8,"person.occ.isin([3,4,5]) & (person.age >= 5) & (person.age < 14)"
person,SCHOL,INT,categorical,Level of School,4,9 to 12,"person.occ.isin([3,4,5]) & (person.age >= 14) & (person.age < 19)"
person,SCHOL,INT,categorical,Level of School,5,Vocational / Tech School,person.occ.isin([999])
person,SCHOL,INT,categorical,Level of School,6,Community College,person.occ.isin([999])
person,SCHOL,INT,categorical,Level of School,7,4-year College or University,"person.occ.isin([3,4,5]) & (person.age >= 19) & (person.age < 23)"
person,SCHOL,INT,categorical,Level of School,8,Graduate / Professional School,"person.occ.isin([3,4,5]) & (person.age >= 23)"
person,SCHOL,INT,categorical,Level of School,0,Not a student,"~person.occ.isin([3,4,5, None])"
person,EMPLY,INT,categorical,Employment Category,1,Full-time,person.occ.isin([1])
person,EMPLY,INT,categorical,Employment Category,2,Part-time,person.occ.isin([2])
person,EMPLY,INT,categorical,Employment Category,3,Unemployed,person.occ.isin([8])
person,EMPLY,INT,categorical,Employment Category,4,Non-worker,"~person.occ.isin([1,2,8])"
person,AGE,INT,continuous,Age of person,,,person.age
person,AGE_CAT,INT,continuous,Age of person,,,"pd.cut(person.age, bins=[0,5,15,17,24,34,44,49,54,59,64,74,79,84,999], include_lowest=True, labels=False).astype(str)"
person,HOURS_CAT,INT,continuous,Age of person,,,"pd.Series(None, index=person.index)"
person,PER_GENDER,INT,categorical,Gender of person,1,Male,person.gender.isin([1])
person,PER_GENDER,INT,categorical,Gender of person,2,Female,person.gender.isin([2])
person,EMPLY_LOC_TYPE,INT,categorical,Employment location type,1,fixed,"person.occ.isin([1,2]) & person.reset_index().merge((trip[trip.trip_purp.isin([1])].groupby('person_id').dest_latlon.size()==1).reset_index(), how='left').set_index('person_id').fillna(False).dest_latlon"
person,EMPLY_LOC_TYPE,INT,categorical,Employment location type,2,works from home,"person.occ.isin([1,2]) & person.reset_index().merge(trip[trip.trip_purp.isin([1])].groupby('person_id').dest_latlon.size().reset_index(), how='left').set_index('person_id').isnull().dest_latlon"
person,EMPLY_LOC_TYPE,INT,categorical,Employment location type,3,varies,"person.occ.isin([1,2]) & person.reset_index().merge((trip[trip.trip_purp.isin([1])].groupby('person_id').dest_latlon.size()>1).reset_index(), how='left').set_index('person_id').fillna(False).dest_latlon"
person,EMPLY_LOC_TYPE,INT,categorical,Employment location type,0,Not a worker,"~person.occ.isin([1,2])"
trip,trip_id,INT,continuous,dataframe index,,,"pd.Series(trip.index, index=trip.index)"
trip,SAMPN,INT,continuous,Household ID,,,trip.household_id
trip,PERNO,INT,continuous,Person ID,,,trip.person_num
trip,PLANO,INT,continuous,Place Number per person,,,trip.trip_num
trip,TRIP_WEIGHT,REAL,continuous,Weight to expand data at trip level,,,trip.person_weight
trip,TAZ,INT,continuous,Destination TAZ,,,trip.dest_zone_id
trip,TPURP,INT,categorical,Trip Purpose,0,Home,trip.trip_purp.isin([8])
trip,TPURP,INT,categorical,Trip Purpose,1,Work,"trip.trip_purp.isin([1,2])"
trip,TPURP,INT,categorical,Trip Purpose,2,University,"(trip.reset_index().merge(person.reset_index()[['person_id','age']], how='left').set_index('trip_id').age>18) & trip.trip_purp.isin([3])"
trip,TPURP,INT,categorical,Trip Purpose,3,School,"(trip.reset_index().merge(person.reset_index()[['person_id','age']], how='left').set_index('trip_id').age<=18) & trip.trip_purp.isin([3])"
trip,TPURP,INT,categorical,Trip Purpose,4,Escorting,trip.trip_purp.isin([999])
trip,TPURP,INT,categorical,Trip Purpose,5,Shopping,"trip.trip_purp.isin([51,52,53,54,55,61])"
trip,TPURP,INT,categorical,Trip Purpose,6,Maintenance,"trip.trip_purp.isin([4,7])"
trip,TPURP,INT,categorical,Trip Purpose,7,Eat Out,trip.trip_purp.isin([64])
trip,TPURP,INT,categorical,Trip Purpose,8,Social / Visit,"trip.trip_purp.isin([62,63])"
trip,TPURP,INT,categorical,Trip Purpose,9,Discretionary,"trip.trip_purp.isin([65,66,67,68,69])"
#trip,TPURP,INT,categorical,Trip Purpose,10,Work Related,trip.trip_purp.isin([999])
#trip,TPURP,INT,categorical,Trip Purpose,11,Loop (Home -> Home),"trip[trip.trip_num==1].reset_index().merge(household['home_zone_id'].reset_index()).set_index('trip_id').apply(lambda x: x['home_zone_id']==x['dest_zone_id'],axis=1)"
#trip,TPURP,INT,categorical,Trip Purpose,12,Change Mode,trip.trip_purp.isin([999])
trip,TPURP,INT,categorical,Trip Purpose,13,Other,trip.trip_purp.isin([9])
trip,MODE,INT,categorical,Surveyed Trip Mode,1,SOV,"self.get_mode_bool('SOV', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,2,HOV2,"self.get_mode_bool('HOV2', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,3,HOV3+,"self.get_mode_bool('HOV3+', trip, trip_hhcompanions_pnum)"
trip,MODE,INT,categorical,Surveyed Trip Mode,4,Walk,"self.get_mode_bool('WALK', trip, trip_hhcompanions_pnum)"
