day_id,is_labourer,household_id,person_num,day_date,day_type,day_traveled,reason_not_traveled,reason_not_traveled_other,home_based,start_latlon,start_community,start_road,start_building,start_poi,start_emirate,interviewer_id,interviewer_company,interview_date,interview_time,person_id,interviewer_company_num,person_group,person_weight,wt
1,1.0,8592,2.0,2014-04-22,3,1,-999,,1,"25.265306,55.418129",-,-,-,-,1,TTF-C-01,tf,2014-04-23,19:46:00,859202,264,22,251.46234897681487,1
2,1.0,8592,3.0,2014-04-22,3,1,-999,,1,"25.265306,55.418129",-,-,-,-,1,TTF-C-01,tf,2014-04-23,19:46:00,859203,264,22,251.46234897681487,1
3,1.0,8592,4.0,2014-04-22,3,2,3,,-999,,-,-,-,-,1,TTF-C-01,tf,2014-04-23,19:46:00,859204,264,22,251.46234897681487,1
4,1.0,8593,1.0,2014-04-22,3,1,-999,,1,"25.265772,55.417743",-,-,-,-,1,TTF-C-01,tf,2014-04-23,20:03:00,859301,264,22,173.26423378094572,1
5,1.0,8593,2.0,2014-04-22,3,1,-999,,1,"25.265772,55.417743",-,-,-,-,1,TTF-C-01,tf,2014-04-23,20:04:00,859302,264,22,251.46234897681487,1
6,0.0,4099,3.0,2014-04-28,2,1,-999,,1,"25.273058,55.304221",-,-,-,-,1,TTF-C-01,tf,2014-04-29,17:54:00,409903,116,7,205.90137532726553,1
7,0.0,4099,4.0,2014-04-28,2,1,-999,,1,"25.273058,55.304221",-,-,-,-,1,TTF-C-01,tf,2014-04-29,17:54:00,409904,116,7,40.323787432679495,1
8,0.0,4478,6.0,2014-05-15,5,1,-999,,1,"25.274601,55.378990",qusais first,-,-,-,1,TTF-C-01,tf,2014-05-17,13:53:00,447806,232,7,277.79633024647643,1
9,0.0,4478,7.0,2014-05-15,5,1,-999,,1,"25.274601,55.378990",qusais first,-,-,-,1,TTF-C-01,tf,2014-05-17,13:54:00,447807,232,7,142.680144977312,1
10,0.0,4478,8.0,2014-05-15,5,1,-999,,1,"25.274601,55.378990",qusais first,-,-,-,1,TTF-C-01,tf,2014-05-17,13:54:00,447808,232,12,484.23945501519415,1
11,0.0,4479,1.0,2014-05-15,5,1,-999,,1,"25.274601,55.378990",QUSAIS FIRST,-,-,-,1,TTF-C-01,tf,2014-05-17,14:40:00,447901,232,5,299.64800403244686,1
