Table,Form,Question,Description,Shortname,Unit type
household,H,Labourer,Household has labourer,has_labourer,bool
household,H,HHNr,Household number,household_id,int
household,H,H-A,Number of floors in the building,hh_floors,int
household,H,H-B,Number of dwellings in the building,hh_units,int
household,H,H-C,Name of the head of the household,hoh_name,str
household,H,H-D,Telephone number,ph,str
household,H,H-E,E-Mail address,email,str
household,H,H-F,Home address - Geocode,latlon,str
household,H,H-G,Home address - Community,community,str
household,H,H-H,Home address - Road,road,str
household,H,H-I,Home address - Building,building,str
household,H,H-J,Home address - POI,poi,str
household,H,H-K,Home address - Emirate,emirate,cat
household,H,HQ1-1,Number of persons living in HH under 6y,hh_under6yr,int
household,H,HQ1-2,Number of persons living in HH from 6y,hh_over6yr,int
household,H,H-Maids,Number of maids living in HH,hh_maids,int
household,H,HQ2-1,Number of persons under 6y present in HH during first visit,hh_under6yr_present,int
household,H,HQ2-2,Number of persons from 6y present in HH during first visit,hh_over6yr_present,int
household,H,HQ3,Dwelling unit tenure,hh_tenure,cat
household,H,HQ4,Number of motor vehicles available to the household for personal use,hh_veh,int
household,H,HQ5,Number of bicycles available to the household for personal use,hh_bikes,int
household,H,HQ7,Distance to nearest PT stop,ptdist,cat
household,H,HQ8,"Monthly household income (salary, pension, other income) in AED",hhincome,cat
household,H,HQ9,Type of property you reside in,hhproptype,cat
household,H,HQ9a,Type of property - other,hhproptype_other,str
household,H,Interviewer,Interviewer id,interviewer_id,str
household,H,Company,Interviewer company,interviewer_company,str
household,H,Com_Name,Interviewer company name,interviewer_company_name,str
household,H,Com_Nr,Interviewer company number,interviewer_company_num,int
household,H,I_Date,Interview date,interview_date,date
household,H,I_Time,Interview time,interview_time,time
household,H,h_zone,Home zone,home_zone_id,int
vehicle,H6,Labourer,Household has labourer,has_labourer,bool
vehicle,H6,VehNr,Vehicle number,vehicle_num,int
vehicle,H6,hhnr,Household number,household_id,int
vehicle,H6,HQ6-1,Type of vehicle,vehtype,cat
vehicle,H6,HQ6-1a,Type of vehicle - Other,vehtype_other,str
vehicle,H6,HQ6-2,Owner of vehicle,veh_ownership,cat
vehicle,H6,HQ6-2a,Owner of vehicle - Other,veh_ownership_other,str
vehicle,H6,Interviewer,Interviewer id,interviewer_id,str
vehicle,H6,Company,Interviewer company,interviewer_company,str
vehicle,H6,I_Date,Interview date,interview_date,date
vehicle,H6,I_Time,Interview time,interview_time,time
person,P,Labourer,Person is a labourer,is_labourer,bool
person,P,HHNr,Household number,household_id,int
person,P,PNr,Person number,person_num,int
person,P,PQ1,Person name,person_name,str
person,P,PQ2,Household status,relationship,cat
